id,nome,cpf,telefone,cadastro,ultima_compra
0,Mike,33268333840,19429641030,12-04-2024,05-05-2024
1,Ana,12345678901,11987654321,03-05-2024,05-05-2024
2,João,98765432109,11999999999,01-05-2024,03-05-2024
3,Maria,45678901234,11888888888,02-05-2024,06-05-2024
4,Carlos,98765432198,11777777777,04-05-2024,07-05-2024
5,Julia,78901234567,11666666666,05-05-2024,08-05-2024
6,Pedro,89012345678,11555555555,06-05-2024,09-05-2024
7,Fernanda,90123456789,11444444444,07-05-2024,10-05-2024
8,Lucas,12378945601,11333333333,08-05-2024,11-05-2024
9,Paula,23478901234,11222222222,09-05-2024,12-05-2024
10,Rafael,34567890123,11111111111,10-05-2024,13-05-2024
11,Camila,45678901234,11987654321,11-05-2024,14-05-2024
12,Gabriel,56789012345,11876543210,12-05-2024,15-05-2024
13,Isabela,67890123456,11765432109,13-05-2024,16-05-2024
14,Thiago,78901234567,11654321098,14-05-2024,17-05-2024
